Name,Type,CMC,Color Identity,Oracle Text,Keywords,Power,Toughness
"Grishnakh, Brash Instigator",Goblin Soldier,3.0,R,"When Grishnákh enters, amass Orcs 2. When you do, until end of turn, gain control of target nonlegendary creature an opponent controls with power less than or equal to the amassed Army's power. Untap that creature. It gains haste until end of turn.",Amass,1,1
"Grist, Voracious Larva // Grist, the Plague Swarm",Insect // Legendary Planeswalker,1.0,"B, G",Missing Oracle Text,"Transform, Mill, Deathtouch",0,0
"Grusilda, Monster Masher",Zombie Villain,5.0,"B, R","Combined, enchanted, and equipped creatures you control have menace.{3}{B}{R}, {T}: Put two target creature cards from graveyards onto the battlefield combined into one creature under your control. (Its power is equal to their total power, its toughness is equal to their total toughness, and it has their names, mana costs, types, text boxes, etc.)",,4,4
Guild Artisan,Background,2.0,R,"Commander creatures you own have ""Whenever this creature attacks a player, if no opponent has more life than that player, you create two Treasure tokens."" (They're artifacts with ""{T}, Sacrifice this token: Add one mana of any color."")",Treasure,0,0
"Gut, Fanatical Priestess",Goblin Shaman,6.0,R,"Specialize {5}When Gut, Fanatical Priestess enters, up to one target creature you control fights target creature you don't control. If the creature you don't control would die this turn, exile it instead.","Fight, Specialize",4,3
"Gutmorn, Pactbound Servant",Demon,3.0,B,"Flying, deathtouchWhen Gutmorn, Pactbound Servant enters the battlefield, each player discards a nonland card.Whenever a player discards a card during your turn, they choose another player. That player conjures a duplicate of that card into their hand. It perpetually gains ""You may spend mana as though it were mana of any color to cast this spell.""","Deathtouch, Flying, Conjure",1,3
"Gut, True Soul Zealot",Goblin Shaman,3.0,R,"Whenever you attack, you may sacrifice another creature or an artifact. If you do, create a 4/1 black Skeleton creature token with menace that's tapped and attacking. (It can't be blocked except by two or more creatures.)Choose a Background (You can have a Background as a second commander.)",Choose a background,2,2
"Gwaihir, Greatest of the Eagles",Bird Noble,5.0,W,"FlyingWhenever Gwaihir attacks, target attacking creature gains flying until end of turn.At the beginning of each end step, if you gained 3 or more life this turn, create a 3/3 white Bird creature token with flying and ""Whenever this token attacks, target attacking creature gains flying until end of turn.""",Flying,5,5
"Gyox, Brutal Carnivora",Phyrexian Warlock,3.0,"B, G","At the beginning of your end step, put an oil counter on up to one target creature.Whenever a nontoken creature you control with one or more oil counters on it dies, conjure X duplicates of it into exile, where X is the number of oil counters on it. Those duplicates perpetually get +X/+X. Then shuffle those duplicates into your library.",Conjure,2,4
"Hajar, Loyal Bodyguard",Human Soldier,2.0,"G, R",Sacrifice Hajar: Legendary creatures you control get +1/+0 and gain indestructible until end of turn.,,3,3
"Hakim, Loreweaver",Human Wizard,5.0,U,"Flying{U}{U}: Return target Aura card from your graveyard to the battlefield attached to Hakim. Activate only during your upkeep and only if Hakim isn't enchanted.{U}{U}, {T}: Destroy all Auras attached to Hakim.",Flying,2,4
"Halana, Kessig Ranger",Human Archer Ranger,4.0,G,"ReachWhenever another creature you control enters, you may pay {2}. When you do, that creature deals damage equal to its power to target creature.Partner (You can have two commanders if both have partner.)","Reach, Partner",3,4
"Haldan, Avid Arcanist",Human Wizard,3.0,U,"Partner with Pako, Arcane Retriever (When this creature enters, target player may put Pako into their hand from their library, then shuffle.)You may play lands and cast noncreature spells from among cards you exiled that have fetch counters on them, and you may spend mana as though it were mana of any color to cast those spells.","Partner with, Partner",1,4
"Haldir, Lorien Lieutenant",Elf Soldier,1.0,G,"Haldir enters with X +1/+1 counters on it.Vigilance{5}{G}: Until end of turn, other Elves you control gain vigilance and get +1/+1 for each +1/+1 counter on Haldir.",Vigilance,0,0
Halfdane,Shapeshifter,4.0,"B, U, W","At the beginning of your upkeep, change Halfdane's base power and toughness to the power and toughness of target creature other than Halfdane until the end of your next upkeep.",,3,3
"Halsin, Emerald Archdruid",Elf Druid,4.0,G,"{1}: Until end of turn, target token you control becomes a green Bear creature with base power and toughness 4/4 in addition to its other colors and types.Choose a Background (You can have a Background as a second commander.)",Choose a background,2,4
"Halvar, God of Battle // Sword of the Realms",God // Legendary Artifact,4.0,W,Missing Oracle Text,Equip,0,0
"Harald, King of Skemfar",Elf Warrior,3.0,"B, G","Menace (This creature can't be blocked except by two or more creatures.)When Harald enters, look at the top five cards of your library. You may reveal an Elf, Warrior, or Tyvar card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",Menace,3,2
Hardy of Myra's Marvels,Elf Performer,4.0,G,"As Hardy of Myra's Marvels enters, choose a number.Whenever you cast a spell with the chosen number of lines of flavor text, put that many +1/+1 counters on target creature.Partner (You can have two commanders if both have partner.)",Partner,4,4
Hardy Outlander,Background,2.0,G,"Commander creatures you own have ""Whenever this creature attacks a player, if no opponent has more life than that player, another target creature you control gets +X/+X until end of turn, where X is this creature's power.""",,0,0
"Hargilde, Kindly Runechanter",Human,4.0,"U, W",{T}: Add {C}{C}. Spend this mana only to cast artifact spells or activate abilities of artifacts.Friends forever (You can have two commanders if both have friends forever.),Friends forever,2,3
"Harold and Bob, First Numens",Treefolk Mutant,3.0,G,"Vigilance, reachWhen Harold and Bob dies, if it was a creature, return it to the battlefield. It's an Aura enchantment with enchant Forest you control and ""Enchanted Forest has '{T}: Add three mana of any one color. You get two rad counters.'"" Harold and Bob loses all other abilities.","Reach, Vigilance",3,3
Haunted One,Background,3.0,B,"Commander creatures you own have ""Whenever this creature becomes tapped, it and other creatures you control that share a creature type with it each get +2/+0 and gain undying until end of turn."" (When a creature with undying dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)",,0,0
"Hazoret, Godseeker",God,2.0,R,"Indestructible, hasteStart your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.){1}, {T}: Target creature with power 2 or less can't be blocked this turn.Hazoret can't attack or block unless you have max speed.","Indestructible, Haste, Start your engines!",5,3
Headliner Scarlett,Human Warlock,4.0,R,"HasteWhen Headliner Scarlett enters, creatures target player controls can't block this turn.At the beginning of your upkeep, exile the top card of your library face down. You may look at and play that card this turn.",Haste,3,3
"Heiko Yamazaki, the General",Human Samurai,4.0,R,"TrampleWhenever a Samurai or Warrior you control attacks alone, you may cast target artifact card from your graveyard this turn.",Trample,3,3
"Heliod, the Radiant Dawn // Heliod, the Warped Eclipse",God // Legendary Enchantment Creature,4.0,"U, W",Missing Oracle Text,Transform,0,0
"Henrika Domnathi // Henrika, Infernal Seer",Vampire // Legendary Creature,4.0,B,Missing Oracle Text,"Deathtouch, Flying, Lifelink, Transform",0,0
"Hex, Kellan's Companion",Dog,2.0,G,"HasteWhenever you cast an Adventure spell, if Hex, Kellan's Companion is on the battlefield or in exile, it perpetually gets +1/+1. Then if it's on the battlefield, exile it with a fetch counter on it.Whenever you cast a spell from exile, if Hex is in exile with a fetch counter on it, put it onto the battlefield.",Haste,1,1
"Hidetsugu, Devouring Chaos",Ogre Demon,4.0,"B, R","{B}, Sacrifice a creature: Scry 2.{2}{R}, {T}: Exile the top card of your library. You may play that card this turn. When you exile a nonland card this way, Hidetsugu deals damage equal to the exiled card's mana value to any target.",Scry,4,4
High Marshal Arguel,Vampire Knight,3.0,"B, W","When High Marshal Arguel dies, conjure a card named Arguel's Blood Fast onto the battlefield and you may transform it. If you control an enchantment named Arguel's Blood Fast and a land named Temple of Aclazotz, instead create two 4/3 white and black Vampire Demon creature tokens with flying.","Transform, Conjure",3,1
"Hikari, Twilight Guardian",Spirit,5.0,W,"FlyingWhenever you cast a Spirit or Arcane spell, you may exile Hikari. If you do, return it to the battlefield under its owner's control at the beginning of the next end step.",Flying,4,4
"Hisoka, Minamo Sensei",Human Wizard,4.0,U,"{2}{U}, Discard a card: Counter target spell if it has the same mana value as the discarded card.",,1,3
Hivis of the Scale,Lizard Shaman,5.0,R,You may choose not to untap Hivis during your untap step.{T}: Gain control of target Dragon for as long as you control Hivis and Hivis remains tapped.,,3,4
"Hixus, Prison Warden",Human Soldier,5.0,W,"Flash (You may cast this spell any time you could cast an instant.)Whenever a creature deals combat damage to you, if Hixus entered this turn, exile that creature until Hixus leaves the battlefield. (That creature returns under its owner's control.)",Flash,4,4
"Homura, Human Ascendant // Homura's Essence",Human Monk // Legendary Enchantment,6.0,R,Missing Oracle Text,,4,4
"Horobi, Death's Wail",Spirit,4.0,B,"FlyingWhenever a creature becomes the target of a spell or ability, destroy that creature.",Flying,4,4
"Huang Zhong, Shu General",Human Soldier,4.0,W,Huang Zhong can't be blocked by more than one creature.,,2,3
"Huatli, Poet of Unity // Roar of the Fifth People",Human Warrior Bard // Enchantment,3.0,"G, R, W",Missing Oracle Text,Transform,0,0
"Hua Tuo, Honored Physician",Human,3.0,G,"{T}: Put target creature card from your graveyard on top of your library. Activate only during your turn, before attackers are declared.",,1,2
Hunding Gjornersen,Human Warrior,6.0,"U, W","Rampage 1 (Whenever this creature becomes blocked, it gets +1/+1 until end of turn for each creature blocking it beyond the first.)",Rampage,5,4
"Hurkyl, Master Wizard",Human Wizard Advisor,3.0,U,"At the beginning of your end step, if you've cast a noncreature spell this turn, reveal the top five cards of your library. For each card type among noncreature spells you've cast this turn, you may put a card of that type from among the revealed cards into your hand. Put the rest on the bottom of your library in a random order.",,2,4
Ian Chesterton,Human Scientist,3.0,W,"Science Teacher — Each Saga spell you cast has replicate. The replicate cost is equal to its mana cost. (When you cast that Saga, copy it for each time you paid its replicate cost. Copies of Saga spells become tokens.)Doctor's companion (You can have two commanders if the other is the Doctor.)","Science Teacher, Doctor's companion",2,3
