Name,Type,CMC,Color Identity,Oracle Text,Keywords,Power,Toughness,theme_label
General Jarkeld,Human Soldier,4.0,W,"{T}: Choose two target blocked attacking creatures. If each of those creatures could be blocked by all creatures that the other is blocked by, each creature that's blocking exactly one of those attacking creatures stops blocking it and is blocking the other attacking creature. Activate only during the declare blockers step.",,1,2,Banding
"General Kreat, the Boltbringer",Goblin Soldier,3.0,R,"Whenever one or more Goblins you control attack, create a 1/1 red Goblin creature token that's tapped and attacking.Whenever another creature you control enters, General Kreat deals 1 damage to each opponent.",,2,2,Goblins
General Kudro of Drannith,Human Soldier,3.0,"B, W","Other Humans you control get +1/+1.Whenever General Kudro or another Human you control enters, exile target card from an opponent's graveyard.{2}, Sacrifice two Humans: Destroy target creature with power 4 or greater.",,3,3,Humans
General Marhault Elsdragon,Elf Warrior,4.0,"G, R","Whenever a creature you control becomes blocked, it gets +3/+3 until end of turn for each creature blocking it.",,4,4,Lure
General Tazri,Human Ally,5.0,"B, G, R, U, W","When General Tazri enters, you may search your library for an Ally creature card, reveal it, put it into your hand, then shuffle.{W}{U}{B}{R}{G}: Ally creatures you control get +X/+X until end of turn, where X is the number of colors among those creatures.",,3,4,Allies
"Genku, Future Shaper",Moonfolk Wizard,4.0,"U, W","Whenever another nontoken permanent you control leaves the battlefield, choose one that hasn't been chosen this turn. Create a creature token with those characteristics.• 2/2 white Fox with vigilance.• 1/2 blue Moonfolk with flying.• 1/1 black Rat with lifelink.{3}{W}{U}: Put a +1/+1 counter on each creature you control.",,2,5,Blink
"Geralf, the Fleshwright",Human Warlock,3.0,U,"Whenever you cast a spell during your turn other than your first spell that turn, create a 2/2 blue and black Zombie Rogue creature token.Whenever a Zombie you control enters, put a +1/+1 counter on it for each other Zombie that entered the battlefield under your control this turn.",,2,3,Cantrips
"Geralf, Visionary Stitcher",Human Wizard,3.0,U,"Zombies you control have flying.{U}, {T}, Sacrifice another nontoken creature: Create an X/X blue Zombie creature token, where X is the sacrificed creature's toughness.",,1,4,Toughness Matters
"Gerrard, Weatherlight Hero",Human Soldier,4.0,"R, W","First strikeWhen Gerrard dies, exile it and return to the battlefield all artifact and creature cards in your graveyard that were put there from the battlefield this turn.",First strike,3,3,Eggs
"Gev, Scaled Scorch",Lizard Mercenary,2.0,"B, R","Ward—Pay 2 life.Other creatures you control enter with an additional +1/+1 counter on them for each opponent who lost life this turn.Whenever you cast a Lizard spell, Gev deals 1 damage to target opponent.",Ward,3,2,Lizards
Ghalta and Mavren,Dinosaur Vampire,7.0,"G, W","TrampleWhenever you attack, choose one —• Create a tapped and attacking X/X green Dinosaur creature token with trample, where X is the greatest power among other attacking creatures.• Create X 1/1 white Vampire creature tokens with lifelink, where X is the number of other attacking creatures.",Trample,12,12,Dinosaurs
"Ghalta, Primal Hunger",Elder Dinosaur,12.0,G,"This spell costs {X} less to cast, where X is the total power of creatures you control.Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)",Trample,12,12,Stompy
"Ghalta, Stampede Tyrant",Elder Dinosaur,8.0,G,"TrampleWhen Ghalta enters, put any number of creature cards from your hand onto the battlefield.",Trample,12,12,Dinosaurs
"Ghave, Guru of Spores",Fungus Shaman,5.0,"B, G, W","Ghave enters with five +1/+1 counters on it.{1}, Remove a +1/+1 counter from a creature you control: Create a 1/1 green Saproling creature token.{1}, Sacrifice a creature: Put a +1/+1 counter on target creature.",,0,0,Saprolings
"Ghen, Arcanum Weaver",Human Wizard,3.0,"B, R, W","{R}{W}{B}, {T}, Sacrifice an enchantment: Return target enchantment card from your graveyard to the battlefield.",,2,3,Enchantress
"Ghired, Conclave Exile",Human Shaman,5.0,"G, R, W","When Ghired enters, create a 4/4 green Rhino creature token with trample.Whenever Ghired attacks, populate. The token enters tapped and attacking. (To populate, create a token that's a copy of a creature token you control.)",Populate,2,5,Populate
"Ghired, Mirror of the Wilds",Human Shaman,3.0,"G, R, W","HasteNontoken creatures you control have ""{T}: Create a token that's a copy of target token you control that entered this turn.""",Haste,3,3,Tokens
Ghoulcaller Gisa,Human Wizard,5.0,B,"{B}, {T}, Sacrifice another creature: Create X 2/2 black Zombie creature tokens, where X is the sacrificed creature's power.",,3,4,Zombies
"Ghyrson Starn, Kelermorph",Tyranid Human,3.0,"R, U","Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)Three Autostubs — Whenever another source you control deals exactly 1 damage to a permanent or player, Ghyrson Starn deals 2 damage to that permanent or player.","Three Autostubs, Ward",3,2,Burn
"Giada, Font of Hope",Angel,2.0,W,"Flying, vigilanceEach other Angel you control enters with an additional +1/+1 counter on it for each Angel you already control.{T}: Add {W}. Spend this mana only to cast an Angel spell.","Flying, Vigilance",2,2,Angels
"Gilraen, Dunedain Protector",Human Noble,3.0,W,"{2}, {T}: Exile another target creature you control. You may return that card to the battlefield under its owner's control. If you don't, at the beginning of the next end step, return that card to the battlefield under its owner's control with a vigilance counter and a lifelink counter on it.",,2,3,Turbo Fog
"Gimbal, Gremlin Prodigy",Gremlin Artificer,5.0,"G, R, U","Artifact creatures you control have trample.At the beginning of your end step, create a 0/0 red Gremlin artifact creature token. Put X +1/+1 counters on it, where X is the number of differently named artifact tokens you control.",,4,4,Artificers
"Gimli, Counter of Kills",Dwarf Warrior,4.0,R,"TrampleWhenever a creature an opponent controls dies, Gimli deals 1 damage to that creature's controller.",Trample,4,3,Dwarves
"Gimli, Mournful Avenger",Dwarf Warrior,3.0,"G, R","Gimli has indestructible as long as two or more creatures died under your control this turn.Whenever another creature you control dies, put a +1/+1 counter on Gimli. When this ability resolves for the third time this turn, Gimli fights up to one target creature you don't control.",Fight,3,2,Dwarves
Gimli of the Glittering Caves,Dwarf Warrior,3.0,R,"Double strikeWhenever another legendary creature you control enters, put a +1/+1 counter on Gimli.Whenever Gimli deals combat damage to a player, create a Treasure token.","Treasure, Double strike",1,1,Dwarves
Gisa and Geralf,Human Wizard,4.0,"B, U","When Gisa and Geralf enters, mill four cards.Once during each of your turns, you may cast a Zombie creature spell from your graveyard.",Mill,4,4,Zombies
"Gisa, the Hellraiser",Human Warlock,5.0,B,"Ward—{2}, Pay 2 life.Skeletons and Zombies you control get +1/+1 and have menace.Whenever you commit a crime, create two tapped 2/2 blue and black Zombie Rogue creature tokens. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)",Ward,4,4,Zombies
"Gisela, Blade of Goldnight",Angel,7.0,"R, W","Flying, first strikeIf a source would deal damage to an opponent or a permanent an opponent controls, that source deals double that damage to that player or permanent instead.If a source would deal damage to you or a permanent you control, prevent half that damage, rounded up.","Flying, First strike",5,5,Angels
"Gisela, the Broken Blade",Angel Horror,4.0,W,"Flying, first strike, lifelinkAt the beginning of your end step, if you both own and control Gisela and a creature named Bruna, the Fading Light, exile them, then meld them into Brisela, Voice of Nightmares.","Flying, Lifelink, First strike, Meld",4,3,Angels
"Gishath, Sun's Avatar",Dinosaur Avatar,8.0,"G, R, W","Vigilance, trample, hasteWhenever Gishath deals combat damage to a player, reveal that many cards from the top of your library. Put any number of Dinosaur creature cards from among them onto the battlefield and the rest on the bottom of your library in a random order.","Vigilance, Haste, Trample",7,6,Dinosaurs
"Gix, Yawgmoth Praetor",Phyrexian Praetor,3.0,B,"Whenever a creature deals combat damage to one of your opponents, its controller may pay 1 life. If they do, they draw a card.{4}{B}{B}{B}, Discard X cards: Exile the top X cards of target opponent's library. You may play lands and cast spells from among cards exiled this way without paying their mana costs.",,3,3,Unblockable
"Glarb, Calamity's Augur",Frog Wizard Noble,3.0,"B, G, U",DeathtouchYou may look at the top card of your library any time.You may play lands and cast spells with mana value 4 or greater from the top of your library.{T}: Surveil 2.,"Surveil, Deathtouch",2,4,Frogs
"Glissa, Herald of Predation",Phyrexian Zombie Elf,5.0,"B, G","At the beginning of combat on your turn, choose one —• Incubate 2 twice. (To incubate 2, create an Incubator token with two +1/+1 counters on it and ""{2}: Transform this token."" It transforms into a 0/0 Phyrexian artifact creature.)• Transform all Incubator tokens you control.• Phyrexians you control gain first strike and deathtouch until end of turn.","Incubate, Transform",3,5,Infect
Glissa Sunslayer,Phyrexian Zombie Elf,3.0,"B, G","First strike, deathtouchWhenever Glissa Sunslayer deals combat damage to a player, choose one —• You draw a card and you lose 1 life.• Destroy target enchantment.• Remove up to three counters from target permanent.","First strike, Deathtouch",3,3,Sagas
"Glissa, the Traitor",Phyrexian Zombie Elf,3.0,"B, G","First strike, deathtouchWhenever a creature an opponent controls dies, you may return target artifact card from your graveyard to your hand.","First strike, Deathtouch",3,3,Deathtouch
"Gloin, Dwarf Emissary",Dwarf Advisor,3.0,R,"Whenever you cast a historic spell, create a Treasure token. This ability triggers only once each turn. (Artifacts, legendaries, and Sagas are historic.){T}, Sacrifice a Treasure: Goad target creature. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)","Goad, Treasure",3,3,Dwarves
"Glorfindel, Dauntless Rescuer",Elf Noble,3.0,G,"Whenever you scry, choose one and Glorfindel gets +1/+1 until end of turn.• Glorfindel must be blocked this turn if able.• Glorfindel can't be blocked by more than one creature each combat this turn.",,3,2,Banding
"Gluntch, the Bestower",Jellyfish,3.0,"G, W","FlyingAt the beginning of your end step, choose a player. They put two +1/+1 counters on a creature they control. Choose a second player to draw a card. Then choose a third player to create two Treasure tokens.","Flying, Treasure",0,5,Group Hug
God-Eternal Kefnet,Zombie God,4.0,U,"FlyingYou may reveal the first card you draw each turn as you draw it. Whenever you reveal an instant or sorcery card this way, copy that card and you may cast the copy. That copy costs {2} less to cast.When God-Eternal Kefnet dies or is put into exile from the battlefield, you may put it into its owner's library third from the top.",Flying,4,5,Extra Turns
